"","linha","texto","categoria"
"1",1,"Por um Brasil solidário Compareço perante o Congresso Nacional para receber, pela segunda vez, a mais alta distinção a que um homem público possa aspirar",20
"2",2," Agradeço aos milhões de brasileiras e brasileiros, aos jovens e aos idosos, aos que moram nas cidades assim como nos campos, que, com o voto, sufragaram as ideias que temos defendido e as mudanças que estamos empreendendo",24
"3",3," Sei da responsabilidade que assumo",24
"4",4," Ao concederem ao Presidente da  República  a  possibilidade  de  um  novo  mandato,  o  Congresso primeiro, o povo brasileiro depois, credenciaram-se para exigir de mim mais do que de qualquer outro presidente antes",20
"5",5," Empenharei toda minha",24
"6",6,"capacidade e dedicação para corresponder à expectativa da nação brasileira",24
"7",7," Estou  pronto  para  a  nova  jornada",24
"8",8,"  Sinto-me  renovado  pelo  apoio generoso do povo brasileiro",24
"9",9," Tenho mais experiência, pelo muito que pude aprender tanto dos acertos, quanto dos erros, de meu primeiro mandato",24
"10",10," Nos últimos anos o Brasil renovou sua fisionomia, com a construção de estradas de relevância estratégica, quatro hidrovias, um sem número de portos e aeroportos",10
"11",11," Promoveu um salto na produção de energia e uma revolução nas telecomunicações",8
"12",12," Mudou muito",24
"13",13,"  Mas quando falo em mudança penso em algo mais profundo, abrangente e capilar, que toca o quotidiano de cada um dos brasileiros e melhora suas vidas",24
"14",14," Milhões puderam alimentar melhor seus filhos e dar-se conta de que onde há democracia, estabilidade na economia e seriedade de governo não há razão de ser para o flagelo da fome",13
"15",15," Milhares tiveram acesso a bens que antes estavam reservados a uma pequena elite, que sempre pôde tudo",13
"16",16," Milhares realizaram aspiração tão antiga, quanto legítima, de comprar a casa própria ou morar com mais conforto",14
"17",17," Outros  perceberam  que  a  ação  solidária  dos  governos  e  das prefeituras, de pais e de mestres, está promovendo uma transformação profunda nas escolas e uma esperança fundada de melhor qualidade no ensino",6
"18",18," É a professora das áreas pobres do Brasil que ganha mais e tem a oportunidade de reciclar-se",6
"19",19," É o livro que chega a tempo ou a merenda que é mais nutritiva",6
"20",20," É a evasão que diminui, enquanto a matrícula no segundo grau aumenta",6
"21",21," Na saúde - o pesadelo de todos os brasileiros - mais recursos, melhor gerenciamento, mais atenção à saúde da família e um combate obstinado à fraude  estão  mostrando  o  caminho  que  levará  no  futuro  a  um  efetivo atendimento universal, gratuito e de qualidade, como prescreve a Constituição, mas que poucos países, mesmo entre os mais desenvolvidos, conseguiram assegurar",3
"22",22," E assim ocorrem mudanças em várias outras áreas sociais",13
"23",23," Não obstante todas estas transformações, muitos ainda resistem em enxergar o Brasil novo que está brotando sob nossos olhos",24
"24",24," Relutam a reconhecer que estamos avançando, competindo e nos adaptando aos novos tempos, em vários planos: o da globalização, o da reestruturação do Estado, o da revitalização da cultura",19
"25",25," Estas mudanças dão a confiança de que a geração do Real será diferente",24
"26",26," Nossos filhos terão mais e melhores oportunidades na vida",13
"27",27," Tudo começou com a nova moeda",1
"28",28," O Real foi um grande divisor de águas",1
"29",29," Antes era a inflação e concentração de renda",1
"30",30," Depois, foi a estabilidade, com o início da distribuição de renda",1
"31",31," O brasileiro pôde prever o fim do mês, planejar o ano seguinte e colocar sobre a mesa a agenda das suas verdadeiras necessidades",1
"32",32," Restaurou-se a confiança para poupar e investir",1
"33",33," O Estado começou a ser transformado para tornar-se mais eficiente, evitar o desperdício e prestar serviços de melhor qualidade à população",20
"34",34," Deixa de ser o Estado faz-de-conta-que-faz-tudo; mas continua a ser o instrumento fundamental para garantir serviços para a população mais pobre, gerar as condições para o aumento da produção e assegurar os direitos básicos de todos",13
"35",35," O Brasil voltou a ser respeitado no exterior",18
"36",36," Os investimentos estrangeiros multiplicaram-se, gerando novos horizontes para os brasileiros",18
"37",37," Também no plano externo o Brasil colhe os frutos da democracia, da estabilidade econômica e de uma renovada confiança no potencial de nosso mercado",18
"38",38," O País torna se mais relevante para o mundo",19
"39",39," Ao mesmo tempo, o mundo se torna mais relevante para o bem estar dos brasileiros",19
"40",40," Em um sistema internacional onde aumenta a interdependência, é inevitável que sejamos afetados por eventos originados em outras regiões do mundo, mesmo as mais longínquas",19
"41",41," Os problemas dos outros tornam-se também nossos",19
"42",42," Da mesma forma, nossos problemas passam a afetar mais diretamente outros países",19
"43",43," Mais do que nunca, é necessário que o Brasil saiba identificar os seus interesses  nacionais  e  falar  com  firmeza  para  defendê-los  nos  foros internacionais",19
"44",44," O interesse nacional, hoje, não  se coaduna com isolamento",19
"45",45," Afirmamos nossa soberania pela participação e pela integração, não pelo distanciamento",19
"46",46," É o que estamos fazendo no Mercosul – dimensão prioritária e irreversível de nossa diplomacia",19
"47",47," É o que estamos realizando com a criação de um espaço integrado de paz, democracia e prosperidade compartilhada na América do Sul",19
"48",48," É o que se reflete em nossa visão da integração hemisférica e de laços mais sólidos com a União Europeia, a Rússia, a China e o Japão, sem detrimento para os nossos vínculos históricos com a África",19
"49",49," O Brasil está assim consolidando uma inserção ativa e soberana no sistema internacional",19
"50",50," Senhores Membros do Congresso Nacional, Nos últimos anos, se é verdade que muito foi feito, ainda resta muito por fazer",24
"51",51," Nossos desafios continuam imensos",24
"52",52," Mas estamos em melhores condições para enfrentá-los",24
"53",53," Preparamos o terreno",24
"54",54," Plantamos a semente",24
"55",55," Daqui para a frente, a nossa tarefa é dupla",24
"56",56," Preservar as realizações e partir para novas conquistas",24
"57",57," A continuidade delas é indispensável, pois a esperança do povo é como a do semeador, na frase de Gilberto Amado: “ao lançar a semente sem ver crescer a planta no solo árido, o braço do semeador se fatiga”",24
"58",58," Estamos fazendo um acerto de contas com o passado e, ao mesmo tempo, tratando de impedir que a prosperidade que resulta da ampliação dos fluxos de capitais, conhecimentos e tecnologia venha contaminada pelo vírus da exclusão",1
"59",59," Reunimos hoje as condições para construir um Brasil efetivamente solidário e mais justo",13
"60",60," O objetivo central do Governo que ora se inicia será o de radicalizar a democracia, democratizar o mercado aumentando a competição e promover mais ampla oportunidade para todos os brasileiros",1
"61",61," Isso requer determinação política e crescimento econômico continuado",1
"62",62," Senhores Congressistas, Oitenta e três milhões de eleitores compareceram às urnas nas últimas eleições",20
"63",63," O povo brasileiro deu uma demonstração inequívoca, sem precedente",24
"64",64,"por sua dimensão, de crença na democracia",24
"65",65," O País desfruta de plena liberdade de opinião e de imprensa, de que muito nos orgulhamos",2
"66",66," O direito de manifestar o pensamento e de crítica é fundamental para vitalidade democrática",2
"67",67," Mas precisamos avançar mais",24
"68",68," Queremos aprofundar a parceria com a sociedade",24
"69",69," Faz pouco tempo, o que entre nós se chamava de “opinião pública” era apenas o eco das reivindicações dos setores privilegiados da sociedade, que sabem fazer ruído na defesa de seus interesses",24
"70",70," Hoje, a opinião pública expandiu-se e incorpora sindicatos de trabalhadores, igrejas, movimentos sociais e as chamadas organizações não governamentais",24
"71",71," Mas ainda existe uma maioria silenciosa que não se faz ouvir",24
"72",72," As medidas de política social do Governo buscam atender a esta maioria, mesmo, se for o caso, contra os ruídos dos que se escudam nos mais pobres para defender seus privilégios",13
"73",73," A sociedade civil assume, com mais eficiência e menor custo, funções que antes eram privativas do setor público",13
