"","linha","texto","categoria"
"1",1,"Excelentíssimos senhores chefes de Estado e de Governo; visitantes e chefes das missões especiais estrangeiras; excelentíssimo senhor presidente do Congresso Nacional, Senador Ramez Tebet; Excelentíssimo senhor vice-presidente da República, José Alencar; excelentíssimo senhor presidente da Câmara dos Deputados, deputado Efraim Morais; excelentíssimo senhor presidente do Supremo Tribunal Federal, ministro Marco Aurélio Mendes de Faria Mello; senhoras e senhores ministros e ministras de Estado; senhoras e senhores parlamentares, senhoras e senhores presentes a este ato de posse",24
"2",2," ""Mudança"": esta é a palavra-chave, esta foi a grande mensagem da sociedade brasileira nas eleições de outubro",24
"3",3," A esperança, finalmente, venceu o medo e a sociedade brasileira decidiu que estava na hora de trilhar novos caminhos",24
"4",4," Diante do esgotamento de um modelo que, em vez de gerar crescimento, produziu estagnação, desemprego e fome; diante do fracasso de uma cultura do individualismo, do egoísmo, da indiferença perante o próximo, da desintegração das famílias e das comunidades, diante das ameaças à soberania nacional, da precariedade avassaladora da segurança pública, do desrespeito aos mais velhos e do desalento dos mais jovens; diante do impasse econômico, social e moral do país, a sociedade brasileira escolheu mudar e começou, ela mesma, a promover a mudança necessária",13
"5",5," Foi para isso que o povo brasileiro me elegeu Presidente da República: para mudar",24
"6",6," Este foi o sentido de cada voto dado a mim e ao meu bravo companheiro José Alencar",24
"7",7," E eu estou aqui, neste dia sonhado por tantas gerações de lutadores que vieram antes de nós, para reafirmar os meus compromissos mais profundos e essenciais, para reiterar a todo cidadão e cidadã do meu país o significado de cada palavra dita na campanha, para imprimir à mudança um caráter de intensidade prática, para dizer que chegou a hora de transformar o Brasil naquela Nação com a qual a gente sempre sonhou: uma Nação soberana, digna, consciente da própria importância no cenário internacional e, ao mesmo tempo, capaz de abrigar, acolher e tratar com justiça todos os seus filhos",19
"8",8," Vamos mudar, sim",24
"9",9," Mudar com coragem e cuidado, humildade e ousadia, mudar tendo consciência de que a mudança é um processo gradativo e continuado, não um simples ato de vontade, não um arroubo voluntarista",24
"10",10," Mudança por meio do diálogo e da negociação, sem atropelos ou precipitações, para que o resultado seja consistente e duradouro",24
"11",11," O Brasil é um país imenso, um continente de alta complexidade humana, ecológica e social, com quase 175 milhões de habitantes",7
"12",12," Não podemos deixá-lo seguir à deriva, ao sabor dos ventos, carente de um verdadeiro projeto de desenvolvimento nacional e de um planejamento, de fato, estratégico",1
"13",13," Se queremos transformá-lo, a fim de vivermos em uma Nação em que todos possam andar de cabeça erguida, teremos de exercer quotidianamente duas virtudes: a paciência e a perseverança",24
"14",14," Teremos que manter sob controle as nossas muitas e legítimas ansiedades sociais, para que elas possam ser atendidas no ritmo adequado e no momento justo; teremos que pisar na estrada com os olhos abertos e caminhar com os passos pensados, precisos e sólidos, pelo simples motivo de que ninguém pode colher os frutos antes de plantar as árvores",24
"15",15," Mas começaremos a mudar já, pois como diz a sabedoria popular, uma longa caminhada começa pelos primeiros passos",24
"16",16," Este é um país extraordinário",24
"17",17," Da Amazônia ao Rio Grande do Sul, em meio a populações praieiras, sertanejas e ribeirinhas, o que vejo em todo lugar é um povo maduro, calejado e otimista",23
"18",18," Um povo que não deixa nunca de ser novo e jovem, um povo que sabe o que é sofrer, mas sabe também o que é alegria, que confia em si mesmo, em suas próprias forças",23
"19",19," Creio num futuro grandioso para o Brasil, porque a nossa alegria é maior do que a nossa dor, a nossa força é maior do que a nossa miséria, a nossa esperança é maior do que o nosso medo",24
"20",20," O povo brasileiro, tanto em sua história mais antiga, quanto na mais recente, tem dado provas incontestáveis de sua grandeza e generosidade; provas de sua capacidade de mobilizar a energia nacional em grandes momentos cívicos; e eu desejo, antes de qualquer outra coisa, convocar o meu povo, justamente para um grande mutirão cívico, para um mutirão nacional contra a fome",13
"21",21," Num país que conta com tantas terras férteis e com tanta gente que quer trabalhar, não deveria haver razão alguma para se falar em fome",13
"22",22," No entanto, milhões de brasileiros, no campo e na cidade, nas zonas rurais mais desamparadas e nas periferias urbanas, estão, neste momento, sem ter o que comer",13
"23",23," Sobrevivem milagrosamente abaixo da linha da pobreza, quando não morrem de miséria, mendigando um pedaço de pão",13
