linha,texto,categoria,comentarios
1,"Excelentíssimo Senhor Ministro Celso Lafer, Excelentíssimos Senhores Ministros, Senhoras e Senhores Membros do Corpo Diplomático, Senhoras e Senhores",24,Agradecimentos
2," Desejo agradecer ao Senhor Presidente da República, Luiz Inácio Lula da Silva, a confiança em mim depositada",24,Agradecimentos
3, É com satisfação que recebo o cargo do Professor Celso Lafer,24,Agradecimentos
4," Com a eleição do Presidente Lula, o povo brasileiro expressou de forma inequívoca o desejo de ver realizada uma profunda reforma política e social, dentro de um marco pacífico e democrático, com ampla participação popular na condução dos assuntos do Estado",24,Sobre Lula
5," Coerentemente com os anseios manifestados nas urnas, o Brasil terá uma política externa voltada para o desenvolvimento e para a paz, que buscará reduzir o hiato entre nações ricas e pobres, promover o respeito da igualdade entre os povos e a democratização efetiva do sistema internacional",6,"Embora possa haver alguma ambiguidade, entende-se desenvolvimento sob a esfera social de diminuição da desigualdade"
6," Uma política externa que seja um elemento essencial do esforço de todos para melhorar as condições de vida do nosso povo, e que esteja embasada nos mesmos princípios éticos, humanistas e de justiça social que estarão presentes em todas as ações do Governo Lula",6,Social
7, Convoco todos os diplomatas e servidores do Ministério das Relações Exteriores a participarem ativamente deste grande projeto,24,Sem categoria
8," A política externa não é só responsabilidade do Itamaraty, ou mesmo do Governo",24,PEB para além do Itamaraty
9, Ela envolve a sociedade como um todo,24,PEB para além do Itamaraty
10," Para definir o interesse nacional em cada situação concreta, reforçarei a coordenação com outros órgãos governamentais e com os diversos setores sociais - trabalhadores, empresários, intelectuais - e entidades da sociedade civil",24,PEB para além do Itamaraty
11, Senhoras e Senhores,24,Exortação
12, O povo brasileiro deu uma grande demonstração de auto-estima ao manifestar sua crença na capacidade de mudar criativamente a realidade,24,Sem categoria
13, Temos que levar esta postura de ativismo responsável e confiante ao plano das relações externas,24,Sem categoria
14," Não fugiremos de um protagonismo engajado, sempre que for necessário para a defesa do interesse nacional e dos valores que nos inspiram",24,Sem categoria
15," Como disse o Presidente Lula, precisamos traduzir, de forma persistente, nossos interesses e valores em pontos da agenda internacional",24,Sem categoria
16, O cenário em que teremos de realizar essa tarefa é complexo e nem sempre amistoso,24,Sem categoria
17, A economia mundial está estagnada,4,Sem ambiguidade de alocação
18, Os fluxos financeiros se comportam de forma errática e segundo uma lógica perversa que penaliza os países em desenvolvimento,4,Sem ambiguidade de alocação
19," A despeito das muitas promessas, os mercados dos países desenvolvidos continuam fechados a grande parte dos nossos produtos",4,Sem ambiguidade de alocação
20, Práticas comerciais predatórias dos países ricos nos privam dos benefícios de nossa competitividade,4,Sem ambiguidade de alocação
21," No plano político, conflitos que se supunha estarem em vias de solução recrudesceram, alimentados pela intolerância e o fanatismo",11,Sem ambiguidade
