linha,texto,categoria,comentario
1,"Com muita honra, aceitei o convite da Excelentíssima Senhora Presidenta da República para assumir o cargo de Ministro de Estado das Relações Exteriores",24,Sobre o convite
2, A tarefa é desafiadora,24,Sobre a tarefa
3," Trata-se de suceder a um dos maiores talentos da diplomacia brasileira, meu amigo, Antonio Patriota",24,Sobre a tarefa
4, Nele me inspiro para enfrentar as variadas e complexas questões internacionais que cabem a um país do porte do Brasil,24,Sobre Patriota
5, Muito me orgulha também ser chamado a dirigir uma instituição que é uma referência no Estado brasileiro,24,Sobre o Convite
6," O Itamaraty talvez seja até mais conhecido por suas tradições, no entanto, é o seu dinamismo, sua qualidade e sua capacidade de abrir-se para os desafios dos Brasil contemporâneo que pretendo reforçar",24,Sobre o Itamaraty
7," Assumo tamanha responsabilidade com espírito de colaborar para a consecução das diretrizes do Governo da Presidenta Dilma Rousseff, que tem privilegiado o crescimento econômico com inclusão social e proteção ambiental como objetivos primordiais",24,Alta ambiguidade
8," Crescer, incluir e proteger",24,Alta ambiguidade
9, Esses objetivos tem dado identidade e peso internacional ao Brasil,24,Sem categoria
10, Tem reforçado a nossa credibilidade externa,4,Credibilidade
11," Sou testemunha pela minha experiência na área de desenvolvimento sustentável, mais especificamente na Conferência Rio+20, que o Brasil é ator fundamental e líder na cena internacional",7,Sem ambiguidade
12," Em minha passagem pela missão junto à ONU, pude perceber o respeito e a consideração com que as posições brasileiras são recebidas pela comunidade internacional",3,ONU
13," A relevância do Brasil, Presidenta, está aqui para ficar",24,Sem categoria
14," Comprometo-me, seguindo as diretrizes de Presidenta Dilma Rousseff, tornar o Ministério das Relações Exteriores cada vez mais útil ao Governo e mais próximo ao Parlamento e à sociedade civil",24,Sem categoria
15," A oportunidade de trabalhar pelo Brasil é, sempre, e será sempre, um privilégio",24,Sem categoria
16,"Não posso deixar hoje de me referir aqui ao Presidente Luiz Inácio Lula da Silva, como aquele que me elevou ao cargo de Embaixador e em cuja gestão tive a oportunidade de assessorar a então Ministra Dilma Rousseff nas negociações sobre mudança do clima",7,Sem ambiguidade
17," Não creio que eu cometo uma inconfidência, Presidenta, ao referir-me ao fato de que, ao longo dos últimos anos, a Senhora sempre esteve particularmente engajada em orientar de perto as delegações às conferências do clima, mesmo quando tinha de ser consultada em horários inadequados",7,Sem ambiguidade
18, Nunca faltou a orientação precisa e oportuna,7,"Sem ambiguidade, pois é continuação"
19, Este exemplo de dedicação é o que eu levo para a minha gestão no Itamaraty,24,Sem categoria
20," É com sentido de missão e com a vontade de fazer o melhor possível que prometo empenho, trabalho e dedicação, para contribuir para o futuro do Brasil",24,Sem categoria
21, Muito obrigado,24,Sem categoria
