"","texto","categoria","comentário"
"1"," O Brasil é hoje a 7ª economia do mundo, o 2º maior produtor e exportador agrícola, o 3º maior exportador de minérios, o 5º país que mais atrai investimentos estrangeiros, o 7º em acúmulo de reservas cambiais e o 3º maior usuário de internet",4,"O Brasil como peça econômica"
"2"," As reservas internacionais estão em patamar histórico, na casa dos 370 bilhões de dólares",4,"O Brasil como peça econômica"
"3"," Os investimentos estrangeiros diretos atingiram, nos últimos quatro anos, volumes recordes",4,"O Brasil como peça econômica"
"4"," Nossa inserção soberana na política internacional continuará sendo marcada pela defesa da democracia, pelo princípio de não-intervenção e respeito à soberania das nações, pela solução negociada dos conflitos, pela defesa dos Direitos Humanos, pelo combate à pobreza e às desigualdades, pela preservação do meio ambiente e pelo multilateralismo",24,"Total ambiguidade"
"5"," Insistiremos na luta pela reforma dos principais organismos multilaterais, cuja governança hoje não reflete a atual correlação de forças global",3,"Reforma mecanismos multilaterais"
"6"," Manteremos a prioridade à América do Sul, América Latina e Caribe, que se traduzirá no empenho em fortalecer o MERCOSUL, a UNASUL e a Comunidade dos Países da América Latina e Caribe (CELAC), sem discriminação de ordem ideológica",2,"AS"
"7"," Da mesma forma será dada ênfase a nossas relações com a África, com os países asiáticos e com o mundo árabe",1,"Ásia, África e OM"
"8"," Com os BRICS, nossos parceiros estratégicos globais - China, Índia, Rússia e África do Sul – avançaremos no comércio, na parceria científica e tecnológica, nas ações diplomáticas e na implementação do Banco de desenvolvimento e na implementação do acordo contingente de reservas",3,"BRICS"
"9"," É de grande relevância aprimorarmos nosso relacionamento com os Estados Unidos, por sua importância econômica, política científica e tecnológica, sem falar no volume de nosso comércio bilateral",1,"EUA"
"10"," O mesmo é válido para nossas relações com a União Européia e com o Japão, com os quais temos laços fecundos",1,"UE e Japão"
"11"," Em 2016, os olhos do mundo estarão mais uma vez voltados para o Brasil, com a realização das Olimpíadas",10,"Olimpíadas"
"12"," Temos certeza que mais vez, como na Copa, vamos mostrar a capacidade de organização dos brasileiros e, agora, numa das mais belas cidades do mundo o nosso Rio de Janeiro",10,"Olimpíadas"
