texto,categoria,comentário
" E eu estou aqui, neste dia sonhado por tantas gerações de lutadores que vieram antes de nós, para reafirmar os meus compromissos mais profundos e essenciais, para reiterar a todo cidadão e cidadã do meu país o significado de cada palavra dita na campanha, para imprimir à mudança um caráter de intensidade prática, para dizer que chegou a hora de transformar o Brasil naquela Nação com a qual a gente sempre sonhou: uma Nação soberana, digna, consciente da própria importância no cenário internacional e, ao mesmo tempo, capaz de abrigar, acolher e tratar com justiça todos os seus filhos",24,Sobre Brasil soberano
"atuando, com energia e criatividade, nos solos internacionais do comércio",4,Comércio
globalizado,4,Comércio
" Em meu Governo, o Brasil vai estar no centro de todas as atenções",24,Outros
 Fazer esse mergulho não significa fechar as portas e janelas ao mundo,24,Sem categoria
 O Brasil pode e deve ter um projeto de desenvolvimento que seja ao mesmo tempo nacional e universalista,4,Desenvolvimento
" Esta Nação, que se criou sob o céu tropical, tem que dizer a que veio: internamente, fazendo justiça à luta pela sobrevivência em que seus filhos se acham engajados; externamente, afirmando a sua presença soberana e criativa no mundo",24,Sem categoria
 Nossa política externa refletirá também os anseios de mudança que se expressaram nas ruas,24,Sem categoria
" No meu Governo, a ação diplomática do Brasil estará orientada por uma perspectiva humanista e será, antes de tudo, um instrumento do desenvolvimento nacional",6,Humanismo
" Por meio do comércio exterior, da capacitação de tecnologias avançadas, e da busca de investimentos produtivos, o relacionamento externo do Brasil deverá contribuir para a melhoria das condições de vida da mulher e do homem brasileiros, elevando os níveis de renda e gerando empregos dignos",4,Tema predominante é a economia
 As negociações comerciais são hoje de importância vital,4,Tema predominante é a economia
" Em relação à Alca, nos entendimentos entre o Mercosul e a União Européia, na Organização Mundial do Comércio, o Brasil combaterá o protecionismo, lutará pela eliminação e tratará de obter regras mais justas e adequadas à nossa condição de país em desenvolvimento",3,Vários mecanismos
" Buscaremos eliminar os escandalosos subsídios agrícolas dos países desenvolvidos que prejudicam os nossos produtores, privando-os de suas vantagens comparativas",4,Tema predominante é a economia
" Com igual empenho, esforçar-nos-emos para remover os injustificáveis obstáculos às exportações de produtos industriais",4,Exportação
" A grande prioridade da política externa durante o meu Governo será a construção de uma América do Sul politicamente estável, próspera e unida, com base em ideais democráticos e de justiça social",2,AS
" Para isso é essencial uma ação decidida de revitalização do Mercosul, enfraquecido pelas crises de cada um de seus membros e por visões muitas vezes estreitas e egoístas do significado da integração",2,AS
" O Mercosul, assim como a integração da América do Sul em seu conjunto, é sobretudo um projeto político",2,AS
 Mas esse projeto repousa em alicerces econômico-comerciais que precisam ser urgentemente reparados e reforçados,4,Alicerces econômicos
" Cuidaremos também das dimensões social, cultural e científico-tecnológica do processo de integração",2,Integração regional
 Estimularemos empreendimentos conjuntos e fomentaremos um vivo intercâmbio intelectual e artístico entre os países sul-americanos,2,Integração regional
" Apoiaremos os arranjos institucionais necessários, para que possa florescer uma verdadeira identidade do Mercosul e da América do Sul",2,Integração regional
" Vários dos nossos vizinhos vivem, hoje, situações difíceis",2,Integração regional
" Contribuiremos, desde que chamados e na medida de nossas possibilidades, para encontrar soluções pacíficas para tais crises, com base no diálogo, nos preceitos democráticos e nas normas constitucionais de cada país",11,Integração regional mas sobre paz regional
 O mesmo empenho de cooperação concreta e de diálogos substantivos teremos com todos os países da América Latina,1,Relações AL
" Procuraremos ter com os Estados Unidos da América uma parceria madura, com base no interesse recíproco e no respeito mútuo",1,Relações EUA
" Trataremos de fortalecer o entendimento e a cooperação com a União Européia e os seus Estados-membros, bem como com outros importantes países desenvolvidos, a exemplo do Japão",1,Relações UE e Japão
" Aprofundaremos as relações com grandes nações em desenvolvimento: a China, a Índia, a Rússia, a África do Sul, entre outras",1,Relações com Sul Global
 Reafirmamos os laços profundos que nos unem a todo o continente africano e a nossa disposição de contribuir ativamente para que ele desenvolva as suas enormes potencialidades,1,Relações com África
" Visamos não só a explorar os benefícios potenciais de um maior intercâmbio econômico e de uma presença maior do Brasil no mercado internacional, mas também a estimular os incipientes elementos de multipolaridade da vida internacional contemporânea",4,Relações econômicas
 A democratização das relações internacionais sem hegemonias de qualquer espécie é tão importante para o futuro da Humanidade quanto a consolidação e o desenvolvimento da democracia no interior de cada estado,11,Relações pacíficas e democráticas no SI
" Vamos valorizar as organizações multilaterais, em especial as Nações Unidas, a quem cabe a primazia na preservação da paz e da segurança internacionais",3,ONU
 As resoluções do Conselho de Segurança devem ser fielmente cumpridas,3,ONU
 Crises internacionais como a do Oriente Médio devem ser resolvidas por meios pacíficos e pela negociação,11,Solução de crises
" Defenderemos um Conselho de Segurança reformado, representativo da realidade contemporânea com países desenvolvidos e em desenvolvimento das várias regiões do mundo",3,CSONU
entre os seus membros permanentes,3,CSONU continuação da frase
" Enfrentaremos os desafios da hora atual, como o terrorismo e o crime organizado, valendo-nos da cooperação internacional e com base nos princípios do multilateralismo e do Direito Internacional",11,Paz
" Apoiaremos os esforços para tornar a ONU e suas agências instrumentos ágeis e eficazes da promoção do desenvolvimento social e econômico, do combate à pobreza, às desigualdades e a todas as formas de discriminação, da defesa dos direitos humanos e da preservação do meio ambiente",3,ONU
" Sim, temos uma mensagem a dar ao mundo: temos de colocar nosso projeto nacional democraticamente em diálogo aberto como as demais nações do planeta, porque nós somos o novo, somos a novidade de uma civilização que se desenhou sem temor, porque se desenhou no corpo, na alma e no coração do povo, muitas vezes, à revelia das elites, das instituições e até mesmo do Estado",24,Sem categoria
 O Brasil pode dar muito a si mesmo e ao mundo,24,Sem categoria
