"","texto","categoria","comentário"
"1","Nós todos sabemos que, há um bom tempo, o mundo está de olho no Brasil",24,"Sem categoria"
"2"," Os investidores acompanham, com grande interesse, as mudanças no nosso país",4,"Sem ambiguidade"
"3"," Havendo condições adequadas — e nós vamos produzi-las —, a resposta será rápida, pois é grande a quantidade de recursos disponíveis no mercado internacional e até internamente, e ainda maior as potencialidades no nosso País",4,"Sem ambiguidade"
"4","Quero falar um pouco sobre a atuação nas linhas interna e externa do Brasil",24,"Sem categoria"
"5"," E esses princípios estão consagrados na Constituição de [19]88, senador Mauro Benevides, que nós ajudamos a redigir, não é? Eu indico, porque esses preceitos indicam caminho natural para definição das linhas da atuação interna e externa do Brasil",24,"Sem categoria"
"6","Muito bem, nesta Constituição, a independência nacional, a defesa da paz e da solução pacífica de conflitos, o respeito à autodeterminação dos povos, a igualdade entre os estados, a não-intervenção, a centralidade dos direitos humanos e o repúdio ao racismo e ao terrorismo, dentre outros princípios, são valores profundos da nossa sociedade",11,"Embora haja ambiguidade, o guarda-chuva maior é o da paz"
"7"," E traça uma imagem de um País pacífico e ciente dos direitos e deveres estabelecidos pela nossa Constituição",11,"Sem ambiguidade"
"8","São, meus amigos, esses elementos de consenso que nos permite estabelecer bases sólidas para a política externa que volte a representar os valores e interesses permanentes no nosso País",10,"Sobre valores"
"9"," A recuperação do prestígio do País e da confiança em seu futuro serão tarefas iniciais e decisivas para o fortalecimento da inserção internacional da nossa economia",4,"Sobre recuperação do prestígio"
"10","Agora em agosto o Brasil estará no centro do mundo com a realização das Olimpíadas no Rio de Janeiro",10,"Olimpíadas"
"11"," Tão cedo não voltaremos oportunidade como esta de atrair a atenção de tanta gente, ao mesmo tempo, em todos os cantos do mundo",10,"Olimpíadas"
