"","linha","texto","categoria","comentarios"
"1",1,"Excelentíssimo Senhor Ministro Celso Lafer, Excelentíssimos Senhores Ministros, Senhoras e Senhores Membros do Corpo Diplomático, Senhoras e Senhores",24,"Agradecimentos"
"2",2," Desejo agradecer ao Senhor Presidente da República, Luiz Inácio Lula da Silva, a confiança em mim depositada",24,"Agradecimentos"
"3",3," É com satisfação que recebo o cargo do Professor Celso Lafer",24,"Agradecimentos"
"4",4," Com a eleição do Presidente Lula, o povo brasileiro expressou de forma inequívoca o desejo de ver realizada uma profunda reforma política e social, dentro de um marco pacífico e democrático, com ampla participação popular na condução dos assuntos do Estado",24,"Sobre Lula"
"7",7," Convoco todos os diplomatas e servidores do Ministério das Relações Exteriores a participarem ativamente deste grande projeto",24,"Sem categoria"
"8",8," A política externa não é só responsabilidade do Itamaraty, ou mesmo do Governo",24,"PEB para além do Itamaraty"
"9",9," Ela envolve a sociedade como um todo",24,"PEB para além do Itamaraty"
"10",10," Para definir o interesse nacional em cada situação concreta, reforçarei a coordenação com outros órgãos governamentais e com os diversos setores sociais - trabalhadores, empresários, intelectuais - e entidades da sociedade civil",24,"PEB para além do Itamaraty"
"11",11," Senhoras e Senhores",24,"Exortação"
"12",12," O povo brasileiro deu uma grande demonstração de auto-estima ao manifestar sua crença na capacidade de mudar criativamente a realidade",24,"Sem categoria"
"13",13," Temos que levar esta postura de ativismo responsável e confiante ao plano das relações externas",24,"Sem categoria"
"14",14," Não fugiremos de um protagonismo engajado, sempre que for necessário para a defesa do interesse nacional e dos valores que nos inspiram",24,"Sem categoria"
"15",15," Como disse o Presidente Lula, precisamos traduzir, de forma persistente, nossos interesses e valores em pontos da agenda internacional",24,"Sem categoria"
"16",16," O cenário em que teremos de realizar essa tarefa é complexo e nem sempre amistoso",24,"Sem categoria"
"25",25," Nossa região - a América do Sul - também sofre os efeitos desses abalos",24,"América do Sul"
"26",26," Senhoras e Senhores",24,"Exortação"
"30",30," Atuaremos em cada momento norteados pela necessidade de assegurar a compatibilidade do que está sendo proposto com as políticas nacionais",24,"Compatibilidade com nível doméstico"
"69",69," Nossa política externa não pode estar confinada a uma única região, nem pode ficar restrita a uma única dimensão",24,"Sem categoria"
"85",85," As políticas cultural, de cooperação técnica, científica e tecnológica serão elementos essenciais da política externa do Governo Lula",24,"Com muita ambiguidade"
"86",86," Senhoras e Senhores",24,"Exortação"
"87",87," Considero a honrosa indicação com que o Senhor Presidente da República me distinguiu como sinal de reconhecimento da excelência e patriotismo dos quadros do Serviço Exterior Brasileiro",24,"Mudanças institucionais, desafios e agradecimentos"
"88",88," A imagem pública que se tem da vida diplomática costuma ressaltar apenas os aspectos de maior brilho",24,"Mudanças institucionais, desafios e agradecimentos"
"89",89," Mas há um outro lado, de traumas pessoais e familiares, representados pelas constantes mudanças, readaptações forçadas e, em muitos casos, o enfrentamento de situações críticas, do ponto de vista material e psicológico",24,"Mudanças institucionais, desafios e agradecimentos"
"90",90," Tais dificuldades geram necessidades que não podem ser desatendidas",24,"Mudanças institucionais, desafios e agradecimentos"
"91",91," No caso da carreira diplomática, enfrenta-se um complexo desafio: como conciliar a valiosa experiência acumulada com a justa e necessária renovação nos postos de chefia",24,"Mudanças institucionais, desafios e agradecimentos"
"92",92," Estou consciente de que as tarefas que temos diante de nós somente podem ser executadas a contento com a participação engajada de todas as categorias de servidores do Itamaraty",24,"Mudanças institucionais, desafios e agradecimentos"
"93",93," Examinarei sempre com atenção e boa vontade suas sugestões e reivindicações",24,"Mudanças institucionais, desafios e agradecimentos"
"94",94," Senhoras e Senhores, meus colegas",24,"Mudanças institucionais, desafios e agradecimentos"
"95",95," Não só o Brasil, mas todo o mundo está consciente de que o País vive um grande momento de sua história",24,"Mudanças institucionais, desafios e agradecimentos"
"96",96," Pude testemunhar isso pessoalmente",24,"Mudanças institucionais, desafios e agradecimentos"
"97",97," Não são poucos os analistas, intelectuais ou ativistas políticos de variadas tendências que pensam que do êxito brasileiro depende não só o nosso próprio futuro, mas o de outras nações, que, como nós, buscam a via do desenvolvimento com democracia e justiça social",24,"Mudanças institucionais, desafios e agradecimentos"
"98",98," Sou tentado a dizer, como o poeta, que tenho duas mãos e o sentimento do mundo",24,"Mudanças institucionais, desafios e agradecimentos"
"99",99," Mas o que me dá confiança é a certeza de que, desta feita, serão muitas mãos a colaborar",24,"Mudanças institucionais, desafios e agradecimentos"
"100",100," A tarefa é grandiosa",24,"Mudanças institucionais, desafios e agradecimentos"
"101",101," O Itamaraty não falhará na sua parte dessa missão",24,"Mudanças institucionais, desafios e agradecimentos"
"102",102," Muito obrigado",24,"Mudanças institucionais, desafios e agradecimentos"
