"","X","linha","texto","categoria","comentario"
"1",1,1,"Quero agradecer ao Senhor Presidente da República a confiança com que me distinguiu ao indicar-me para o cargo de Ministro de Estado das Relações Exteriores",24,"Agradecimentos"
"2",2,2," Diplomata de carreira, filho, neto e bisneto de diplomata essa é a maior honra a que jamais poderia aspirar E ela se torna ainda maior pelo momento em que ocorre um momento de expansão da alma brasileira, em que a confiança do país se renova e o futuro que sempre nos prometemos parece mais próximo e seguro Encaro esta missão como a oportunidade sem paralelo de contribuir, do posto mais alto da nossa Chancelaria, engrandecido por tantos que me antecederam, para que o Itamaraty continue a desempenhar o papel de excelência que conquistou na administração pública brasileira, como paradigma de Órgão do Estado",24,"Sobre o emissor"
"3",3,3," Conhecendo o Presidente Fernando Henrique Cardoso e sabendo do seu entusiasmo pela política externa e do seu apreço pelo Itamaraty, essa indicação só pode dar-me um grande orgulho, Ao tempo, a familiaridade do Presidente com a diplomacia que exerceu no melhor estilo, uma habilidade que cativou a todos nós, torna presente, em toda a sua extensão, a enorme responsabilidade que, agora ainda mais, o cargo traz consigo",24,"Sobre o emissor e FHC"
"4",4,4," Temos um Presidente que conhece a nossa instituições, suas virtudes e seus desafios, como nenhum outro Presidente na História do Brasil",24,"Spbre fhc"
"5",5,5," A responsabilidade re- dobrada não é apenas do Chanceler, é de todos nós, diplomatas e funcionários desta Casa",24,"Sobre responsabilidades"
"6",6,6,"  Aprendi a admirar ainda mais o Presidente Fernando Henrique quando tive a oportunidade de assessorá-lo, como Secretário-Geral",24,"Sobre FHC"
"7",7,7," Foram tempos de mudança, tempos de grande criatividade e responsabilidade, que marcaram uma profunda alteração de rumos no Brasil, na política externa como vetor do nosso projeto nacional e no Itamaraty como instituição",24,"Sobre FHC"
"8",8,8," Tempos em que se resgatou a dignidade da função pública e o orgulho de vivermos em uma democracia que mostrou todo o seu vigor a nós mesmos e ao mundo; tempos em que tivemos de reconstruir a nossa projeção internacional enquanto recomeçávamos, no plano interno, a luta por um Brasil melhor, sob a condução honrada e dedicada do Presidente Itamar Franco",24,"Sobre FHC"
"9",9,9," E, no Itamaraty, foram tempos de uma aberta reflexão sobre os métodos de trabalho e a estrutura administrativa da Instituição, uma reflexão feita pelo colegiado da CAOPA, a Comissão cujas recomendações servirão de base para um necessário e urgente trabalho de renovação interna do Ministério das Relações Exteriores",24,"Sobre FHC e o emissor"
"10",10,10," Confiança em mim, pessoalmente, e na instituição que com tanto orgulho represento",24,"Sobre FHC e o emissor"
