"","linha","texto","categoria","comentario"
"1",1,"Minhas primeiras palavras são de agradecimento à Senhora Presidenta da República pela honra com que me distingue ao nomear-me Ministro das Relações Exteriores",24,"Sobre Amorim"
"2",2,"Com entusiasmo antecipo a distinção de servir à primeira mulher a presidir o Brasil",24,"Sobre Amorim"
"3",3," A eleição de uma Presidenta é um acontecimento de importância intrínseca: é mais uma expressão concreta dos ideais de justiça, eqüidade e democracia que nos unem a todos como cidadãos brasileiros",24,"Sobre Amorim"
"4",4," Nossa Presidenta, Dilma Rousseff, representa honestidade intelectual, espírito público, destemor em face de desafios de qualquer tamanho, sensibilidade e humanismo",24,"Sobre Amorim"
"5",5," Para o Itamaraty, representa a certeza de que o Brasil continuará a afirmar-se como um interlocutor cada vez mais ouvido e respeitado no plano internacional",24,"Sobre Amorim"
"6",6,"Querido Embaixador Celso Amorim, meu Chefe por tantos anos – e sempre amigo",24,"Sobre Amorim"
"7",7," Vossa Excelência foi e seguirá sendo, para mim e para muitos de nós, fonte permanente de estímulo e inspiração",24,"Sobre Amorim"
"8",8," Foi na gestão de Vossa Excelência que o Brasil se consolidou, a um só tempo, como um país sul-americano convicto e um ator de influência mundial",24,"Sobre a gestão de Amorim"
"9",9," Seu legado será referência incontornável em nossa História Diplomática",24,"Sobre a gestão de Amorim"
"10",10," Faço votos de que, ao lado de nossa querida Ana Maria, seja muito feliz nesta nova etapa da vida",24,"Sobre a gestão de Amorim"
"11",11," Ainda que de formas distintas, tenho certeza de que o Brasil continuará contando com a força de seu intelecto e sua coragem moral",24,"Sobre a gestão de Amorim"
"12",12,"Para corresponder à confiança em mim depositada pela Presidenta Dilma Rousseff, dependerei de esforços coletivos, que envolverão necessariamente a valiosa colaboração e dedicação de todos os colegas: funcionários diplomáticos e administrativos, na Secretaria de Estado e nos Postos no exterior",24,"Esforços necessários"
"13",13,"Aproveito esta cerimônia de transmissão de cargo para oficializar o convite ao Embaixador Ruy Nogueira para assumir a Secretaria-Geral das Relações Exteriores",24,"Convite"
"14",14," Sua vasta experiência, seu profissionalismo, sua integridade pessoal serão particularmente apreciados neste momento em que enfrentamos uma agenda externa crescentemente ampla e complexa, e capacitamos o Itamaraty para defender os interesses de um novo Brasil",24,"Convite"
"15",15,"Atuarei em estreita cooperação com o Secretário-Geral, com os Senhores Subsecretários e demais Chefias da Casa para levar adiante uma gestão inclusiva e integradora",24,"Convite"
