"","linha","texto","categoria","comentarios"
"1",1,"Queria saudar inicialmente o ministro Gilmar Mendes, do Supremo Tribunal Federal",24,"Agradecimentos apenas"
"2",2," O presidente do STJ, ministro Francisco Falcão; Ministro Herman Benjamin, ministro Rogério Schietti e ministro Paulo Moura",24,"Agradecimentos apenas"
"3",3," Queria cumprimentar, e através dele todos os deputados aqui presentes, o presidente da Comissão de Relações Exteriores da Câmara, Pedro Vilela",24,"Agradecimentos apenas"
"4",4," E o presidente da Comissão de Relações Exteriores do Senado, meu colega do Senado, Aloysio Nunes, através de quem cumprimento todos os nossos queridos amigos senadores",24,"Agradecimentos apenas"
"5",5," Queria saudar excelentíssimo ex-presidente da República, José Sarney, que, considero, teve um papel fundamental no processo de redemocratização do nosso país e merece ser reconhecido em todos os tempos por este papel",24,"Agradecimentos apenas"
"6",6," Quero cumprimentar o senhor núncio apostólico, dom Giovanni d´Aniello, em nome de quem cumprimento os demais embaixadores estrangeiros acreditados junto ao governo brasileiro",24,"Agradecimentos apenas"
"7",7," E dar aqui o meu abraço ao embaixador Mauro Vieira, ex-ministro de estado das Relações Exteriores, a quem agradeço a prestatividade, diria assim, e toda a colaboração nesse processo de transição do comando do Ministério",24,"Agradecimentos apenas"
"8",8," Quero dizer a ele que o considero um homem que teve uma trajetória pública exemplar e digno discípulo de um amigo meu, um amigo nosso em comum, o ministro Renato Archer",24,"Agradecimentos apenas"
"9",9,"Quero agradecer também, muito enfaticamente, ao presidente Michel Temer pela confiança ao convidar-me para assumir este ministério, bem como pela paciência de revisar e pela aprovação deste Delineamento da Nova Política Externa Brasileira, que apresentarei hoje",24,"Agradecimentos apenas"
"10",10," O presidente leu ao meu lado, linha por linha, fazendo seus comentários, que naturalmente levei em conta",24,"Sobre a relação com Temer"
"11",11," Quero dizer que trinta e três anos de convivência com Michel Temer, seja no mesmo lado ou em lados diferentes da vida política, foram sempre acompanhados de uma relação constante de amizade, respeito mútuo e permanente diálogo",24,"Sobre a relação com Temer"
"12",12," E quero por último, aqui agradecer a presença dos meus colegas de Ministério, são muitos, eu os saúdo em nome do ministro Romero Jucá, que, quis o destino, vai ter um papel junto comigo fundamental para a recuperação das finanças do Itamaraty",24,"Agradecimentos apenas"
"13",13," Creio que os outros ministros entenderão por que escolhi o ministro Jucá para representá-los nesta saudação",24,"Justificativas aos ministros"
"14",14," Deixe-me dizer também de minha alegria em passar a integrar uma instituição de grande tradição e de marcada contribuição histórica ao nosso país",24,"Sobre a tradição do Itamaraty"
"15",15," Deixe-me dizer também da satisfação em conviver com um corpo de funcionários de reconhecida competência e espírito público",24,"Sobre os funcionários do Itamaraty"
"16",16," Eu espero aqui transmitir algumas ideias essenciais a respeito da nova política externa brasileira",24,"Quais serão as diretrizes de PEB"
"17",17," Tenho e terei, como sempre em minha vida pública, os olhos voltados para o futuro e não para os desacertos do passado",24,"Sobre a visão do ministro para futuro"
"18",18,"Primeira diretriz:",24,"Diretriz 1"
