"","X","linha","texto","categoria","comentario"
"1",1,1,"Foi com profunda honra que recebi o convite da Senhora Presidenta da República, Dilma Rousseff, para assumir o cargo de Ministro de Estado das Relações Exteriores",24,"Sobre o convite"
"2",2,2," O seu mandato popular que se renova confere-lhe força moral e liderança para conduzir-nos no caminho da prosperidade e da felicidade, sentido maior do projeto nacional brasileiro",24,"Sobre Dilma"
"3",3,3,"A ela expresso a minha gratidão pela confiança que esse gesto representa, pela honra que me confere de estar ao seu lado nessa tarefa maior",24,"Sobre Dilma"
"4",4,4," E afirmo o meu compromisso de trabalhar intensamente para corresponder à confiança em mim depositada",24,"Sobre Dilma"
"5",5,5,"A exemplo das funções que desempenhei anteriormente na Secretaria de Estado e no Exterior, aceitei este desafio com encantamento e grande sentido de responsabilidade e lealdade à Presidenta, consciente do que representa na vida de um veterano servidor do Itamaraty e do Estado brasileiro sentar-se na cadeira do Barão do Rio Branco",24,"Sobre o desafio"
"6",6,6,"  Compartilho esse sentido de dever a serviço da Nação com todos os meus colegas desta Casa, diplomatas e funcionários integrantes das carreiras do Itamaraty, a quem anima sempre a divisa do Barão, “Ubique Patriae memor” – ""em toda parte, a lembrança da Pátria""",24,"Sobre o desafio"
"7",7,7,"Assumo esse desafio com imensa determinação para executar as diretrizes da Política Externa determinadas pela Senhora Presidenta da República",24,"Sobre o desafio"
"8",8,8," Vou amparar-me nas melhores tradições desta Casa, no apoio e no engajamento de todos os seus funcionários, no patrimônio diplomático que já construímos e na memória que dele guardamos - no projeto permanente, enfim, que sempre animou a diplomacia brasileira: definir e projetar no mundo a identidade do Brasil, identificar e defender os interesses do País em meio a um universo crescente de oportunidades, desafios e riscos",24,"Sobre o papel que ele fará"
"9",9,9,"Tenho o privilégio de suceder o Embaixador Luiz Alberto Figueiredo Machado, amigo querido, cujas qualidades humanas, talento e experiência enriqueceram a função de Chanceler e serão fundamentais para o exercício da nova e alta função que lhe será confiada pela Senhora Presidenta da República",24,"Sobre Figueiredo"
"10",10,10,"Sob a condução do Embaixador Figueiredo, o Itamaraty continuou a ser instrumento para que o Brasil aprofunde sua inserção internacional como protagonista nas mais distintas áreas temáticas, sempre em harmonia com a nossa identidade sul-americana, o multilateralismo e a prevalência do direito internacional",24,"Sobre Figueiredo"
"11",11,11," Conto, caro Figueiredo, com seus conselhos ao longo do trajeto que hoje se inicia e desejo-lhe muitas felicidades e realizações na nova etapa que se inicia em sua vida pessoal e profissional",24,"Sobre Figueiredo"
"12",12,12,"Quero dizer uma palavra de agradecimento também ao Secretário-Geral, Embaixador Eduardo dos Santos, contemporâneo dos bancos do Instituto Rio Branco e amigo querido desde sempre, cuja experiência e sabedoria tanto têm ajudado na condução dos assuntos desta Casa",24,"Agradecimento"
"13",13,13,"Senhoras e Senhores",24,"Outros"
"14",14,14,"Defino-me essencialmente como um profissional da diplomacia",24,"Sobre o emissor"
"15",15,15," Vejo os Chefes da Casa e as novas gerações hoje aqui reunidas, e identifico-me com cada um dos meus colegas",24,"Sobre o emissor"
"16",16,16," Ao longo dos meus 40 anos de carreira diplomática, senti-me sempre inspirado pelo exemplo das gerações anteriores que construíram esta instituição, patrimônio nacional, reconhecida como uma das melhores e mais profissionais Chancelarias do mundo, cuja alma se constitui de carreiras de Estado solidamente ancoradas na experiência e no ideal do constante aprimoramento profissional",24,"Sobre o emissor"
