"","categoria_nome","fhc","lula","dilma","temer"
"1","Macroeconomia",9.3,7.7,9,26.7
"2","Direitos Civis",5.4,1.8,2.4,0.7
"3","Saúde",1.3,0,2.9,0
"4","Agricultura",0,4.5,0.5,1.5
"5","Trabalho",1.6,1.8,0.8,1.5
"6","Educação",3.5,0,5.9,0
"7","Meio
 Ambiente",0,1.4,1.9,0
"8","Energia",0.6,0,3.5,0
"9","Imigração",0,0.5,0,0
"10","Transportes",0.3,0,1.3,0
"11","Lei e
 Crime",0.3,5.9,3.7,0
"12","Questões
 Sociais",11.8,13.1,8.5,5.9
"13","Moradia",0.3,0,0.3,0
"14","Comércio
 Interno",1,3.2,1.3,2.2
"15","Defesa",0.6,1.8,0.3,0.7
"16","Tecnologia",1.9,0,2.7,0
"17","Comércio
 Exterior",1.9,3.6,2.9,2.2
"18","Relações
 Internacionais",10.2,14,5.6,5.9
"19","Operações
 Governamentais",11.8,6.3,13,26.7
"20","Terras Públicas",0,0,1.1,0
"21","Cultura",2.2,4.5,0.8,3
"22","Outro",35.8,30.2,31.6,23
