categoria,FHC1,Lampreia,FHC2,Lafer,LULA,Amorim,Dilma1,Patriota,Figueiredo,Dilma2,Vieira,Temer,Serra,Nunes,categoria_nome,FHC,DILMA
1,5,6,4,2,5,11,3,4,0,3,2,0,11,13,Relações Bilaterais,9,6
2,0,5,2,10,7,15,2,8,0,1,0,0,2,8,Integração Regional,2,3
3,0,6,2,3,6,10,1,4,1,2,2,0,3,6,Mecanismos Inter-regionais,2,3
4,3,15,4,24,9,15,7,6,1,3,3,3,21,11,"Diplomacia Econômica, Comercial e Financeira",7,10
5,0,1,0,1,0,0,0,7,0,0,3,0,5,4,Cooperação,0,0
6,1,7,0,3,1,4,1,1,0,0,2,0,1,5,Direitos Humanos e Temas Sociais,1,1
7,0,1,0,1,0,1,4,0,4,0,0,0,2,2,Desenvolvimento Sustentável e Meio Ambiente,0,4
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Energia,0,0
9,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"Ciência, Tecnologia e Inovação",0,0
10,1,0,0,2,0,0,0,1,0,2,0,3,0,0,Diplomacia Cultural,1,2
11,2,1,0,2,4,9,1,2,0,0,0,2,1,3,Paz e Segurança Internacionais,2,1
12,0,1,0,1,0,1,0,3,0,0,4,0,2,1,Brasileiros no Exterior,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Atos Internacionais,0,0
24,9,67,5,52,7,36,1,45,15,1,83,3,51,49,Outros,14,2
