"","AMORIM","DILMA","FHC","FIGUEIREDO","LAFER","LAMPREIA","LULA","NUNES","PATRIOTA","SERRA","TEMER","VIEIRA"
"AMORIM",1,0.480626196348569,0.533027614471413,0.256416641855004,0.563513246886059,0.561143557301611,0.62316275549861,0.596106211168349,0.583005715982632,0.520292668482678,0.307555340628118,0.500406464146274
"DILMA",0.480626196348569,1,0.45887398655704,0.141375705940132,0.435356440069515,0.427249204231751,0.528741840997383,0.533070992006592,0.47837446724183,0.443305665617993,0.37465069008979,0.374584452819158
"FHC",0.533027614471413,0.45887398655704,1,0.171376540690921,0.445089697375345,0.527339877529198,0.556446787683183,0.464658743379645,0.462151928941336,0.427658749767491,0.340615483445812,0.398472825333149
"FIGUEIREDO",0.256416641855004,0.141375705940132,0.171376540690921,1,0.355228800865293,0.396882051939544,0.206929145641641,0.381068940265168,0.424195300988085,0.3217276196079,0.0935144983368559,0.509130607782331
"LAFER",0.563513246886059,0.435356440069515,0.445089697375345,0.355228800865293,1,0.665740025068516,0.458582320233468,0.642323151047082,0.564165990353912,0.576062102565791,0.360734416544768,0.649654133209713
"LAMPREIA",0.561143557301611,0.427249204231751,0.527339877529198,0.396882051939544,0.665740025068516,1,0.484858939099734,0.617981659717859,0.593409643406942,0.565010137423911,0.360095913869986,0.64341552654727
"LULA",0.62316275549861,0.528741840997383,0.556446787683183,0.206929145641641,0.458582320233468,0.484858939099734,1,0.493550292461197,0.517798954328831,0.462845032693214,0.268843108650465,0.428561330437943
"NUNES",0.596106211168349,0.533070992006592,0.464658743379645,0.381068940265168,0.642323151047082,0.617981659717859,0.493550292461197,1,0.611570829047688,0.646817612642446,0.326088781150317,0.611689745086318
"PATRIOTA",0.583005715982632,0.47837446724183,0.462151928941336,0.424195300988085,0.564165990353912,0.593409643406942,0.517798954328831,0.611570829047688,1,0.515082781444682,0.321728142193655,0.676078859996734
"SERRA",0.520292668482678,0.443305665617993,0.427658749767491,0.3217276196079,0.576062102565791,0.565010137423911,0.462845032693214,0.646817612642446,0.515082781444682,1,0.293154702985134,0.558627820537732
"TEMER",0.307555340628118,0.37465069008979,0.340615483445812,0.0935144983368559,0.360734416544768,0.360095913869986,0.268843108650465,0.326088781150317,0.321728142193655,0.293154702985134,1,0.333102934014208
"VIEIRA",0.500406464146274,0.374584452819158,0.398472825333149,0.509130607782331,0.649654133209713,0.64341552654727,0.428561330437943,0.611689745086318,0.676078859996734,0.558627820537732,0.333102934014208,1
